NAME,B25059_001E,state,county,tract
"Census Tract 812.02, Cook County, Illinois",2268,17,031,081202
"Census Tract 813, Cook County, Illinois",2126,17,031,081300
"Census Tract 814.01, Cook County, Illinois",2273,17,031,081401
"Census Tract 814.02, Cook County, Illinois",2918,17,031,081402
"Census Tract 814.03, Cook County, Illinois",2749,17,031,081403
"Census Tract 815, Cook County, Illinois",2688,17,031,081500
"Census Tract 816, Cook County, Illinois",2970,17,031,081600
"Census Tract 817, Cook County, Illinois",2704,17,031,081700
"Census Tract 818, Cook County, Illinois",2953,17,031,081800
"Census Tract 819, Cook County, Illinois",3501,17,031,081900
"Census Tract 901, Cook County, Illinois",1237,17,031,090100
"Census Tract 902, Cook County, Illinois",1800,17,031,090200
"Census Tract 903, Cook County, Illinois",1174,17,031,090300
"Census Tract 1001, Cook County, Illinois",1264,17,031,100100
"Census Tract 1002, Cook County, Illinois",1394,17,031,100200
"Census Tract 1003, Cook County, Illinois",2018,17,031,100300
"Census Tract 1004, Cook County, Illinois",-666666666,17,031,100400
"Census Tract 1005, Cook County, Illinois",1787,17,031,100500
"Census Tract 1006, Cook County, Illinois",1307,17,031,100600
"Census Tract 1007, Cook County, Illinois",1614,17,031,100700
"Census Tract 1101, Cook County, Illinois",1374,17,031,110100
"Census Tract 1102, Cook County, Illinois",1019,17,031,110200
"Census Tract 1103, Cook County, Illinois",1500,17,031,110300
"Census Tract 1104, Cook County, Illinois",1405,17,031,110400
"Census Tract 1105.01, Cook County, Illinois",1377,17,031,110501
"Census Tract 1105.02, Cook County, Illinois",1487,17,031,110502
"Census Tract 1201, Cook County, Illinois",2223,17,031,120100
"Census Tract 1202, Cook County, Illinois",1998,17,031,120200
"Census Tract 1203, Cook County, Illinois",3253,17,031,120300
"Census Tract 1204, Cook County, Illinois",1249,17,031,120400
"Census Tract 1301, Cook County, Illinois",880,17,031,130100
"Census Tract 1302, Cook County, Illinois",1421,17,031,130200
"Census Tract 1303, Cook County, Illinois",1447,17,031,130300
