NAME,S1903_C03_001E,state,county,tract
Census Tract 902; Cook County; Illinois,119421,17,031,090200
Census Tract 903; Cook County; Illinois,107639,17,031,090300
Census Tract 1001; Cook County; Illinois,109111,17,031,100100
Census Tract 1002; Cook County; Illinois,107850,17,031,100200
Census Tract 1003; Cook County; Illinois,83271,17,031,100300
Census Tract 1004; Cook County; Illinois,143137,17,031,100400
Census Tract 1005; Cook County; Illinois,109564,17,031,100500
Census Tract 1006; Cook County; Illinois,84000,17,031,100600
Census Tract 1007; Cook County; Illinois,117240,17,031,100700
Census Tract 1101; Cook County; Illinois,96514,17,031,110100
Census Tract 1102; Cook County; Illinois,68824,17,031,110200
Census Tract 1103; Cook County; Illinois,115833,17,031,110300
Census Tract 1104; Cook County; Illinois,81250,17,031,110400
Census Tract 1105.01; Cook County; Illinois,101220,17,031,110501
Census Tract 1105.02; Cook County; Illinois,71440,17,031,110502
Census Tract 1201; Cook County; Illinois,160461,17,031,120100
Census Tract 1202; Cook County; Illinois,149306,17,031,120200
Census Tract 1203; Cook County; Illinois,140988,17,031,120300
Census Tract 1204; Cook County; Illinois,111750,17,031,120400
Census Tract 1301; Cook County; Illinois,58068,17,031,130100
Census Tract 1302; Cook County; Illinois,104107,17,031,130200
Census Tract 1303; Cook County; Illinois,66154,17,031,130300
Census Tract 1401; Cook County; Illinois,86795,17,031,140100
Census Tract 1402; Cook County; Illinois,72629,17,031,140200
Census Tract 1403.01; Cook County; Illinois,69712,17,031,140301
Census Tract 1403.02; Cook County; Illinois,62478,17,031,140302
Census Tract 1404; Cook County; Illinois,93036,17,031,140400
Census Tract 1405; Cook County; Illinois,73273,17,031,140500
Census Tract 1406.01; Cook County; Illinois,87045,17,031,140601
Census Tract 1406.02; Cook County; Illinois,59962,17,031,140602
Census Tract 1407.01; Cook County; Illinois,92212,17,031,140701
Census Tract 1407.02; Cook County; Illinois,73571,17,031,140702
Census Tract 1408; Cook County; Illinois,97722,17,031,140800
Census Tract 1502; Cook County; Illinois,91038,17,031,150200
Census Tract 1503; Cook County; Illinois,86290,17,031,150300
Census Tract 1504.01; Cook County; Illinois,77908,17,031,150401
Census Tract 1504.02; Cook County; Illinois,97986,17,031,150402
Census Tract 1505.01; Cook County; Illinois,122434,17,031,150501
Census Tract 1505.02; Cook County; Illinois,72500,17,031,150502
Census Tract 1506; Cook County; Illinois,81923,17,031,150600
Census Tract 1507; Cook County; Illinois,100862,17,031,150700
Census Tract 1508; Cook County; Illinois,85714,17,031,150800
Census Tract 1510.01; Cook County; Illinois,93879,17,031,151001
Census Tract 1510.02; Cook County; Illinois,75893,17,031,151002
Census Tract 1511; Cook County; Illinois,77521,17,031,151100
Census Tract 1512; Cook County; Illinois,88939,17,031,151200
Census Tract 1601; Cook County; Illinois,107137,17,031,160100
Census Tract 1602; Cook County; Illinois,124364,17,031,160200
Census Tract 1603; Cook County; Illinois,77721,17,031,160300
Census Tract 1604; Cook County; Illinois,72325,17,031,160400
Census Tract 1605.01; Cook County; Illinois,73946,17,031,160501
Census Tract 1605.02; Cook County; Illinois,100147,17,031,160502
Census Tract 1606.01; Cook County; Illinois,83333,17,031,160601
Census Tract 1606.02; Cook County; Illinois,84955,17,031,160602
Census Tract 1607; Cook County; Illinois,92614,17,031,160700
Census Tract 1608; Cook County; Illinois,82691,17,031,160800
Census Tract 1609; Cook County; Illinois,114861,17,031,160900
Census Tract 1610; Cook County; Illinois,102159,17,031,161000
Census Tract 1611; Cook County; Illinois,158393,17,031,161100
Census Tract 1612; Cook County; Illinois,70391,17,031,161200
Census Tract 1613; Cook County; Illinois,53969,17,031,161300
Census Tract 1701; Cook County; Illinois,46571,17,031,170100
Census Tract 1702; Cook County; Illinois,105855,17,031,170200
Census Tract 1703; Cook County; Illinois,85774,17,031,170300
Census Tract 1704; Cook County; Illinois,103016,17,031,170400
Census Tract 1705; Cook County; Illinois,87786,17,031,170500
Census Tract 1706; Cook County; Illinois,76346,17,031,170600
Census Tract 1707; Cook County; Illinois,82868,17,031,170700
Census Tract 1708; Cook County; Illinois,64769,17,031,170800
Census Tract 1709; Cook County; Illinois,68500,17,031,170900
Census Tract 1710; Cook County; Illinois,81950,17,031,171000
Census Tract 1711; Cook County; Illinois,92383,17,031,171100
Census Tract 1801; Cook County; Illinois,83920,17,031,180100
Census Tract 1901; Cook County; Illinois,61250,17,031,190100
Census Tract 1902; Cook County; Illinois,80576,17,031,190200
Census Tract 1903; Cook County; Illinois,69309,17,031,190300
Census Tract 1904.01; Cook County; Illinois,92639,17,031,190401
Census Tract 1904.02; Cook County; Illinois,56523,17,031,190402
Census Tract 1906.01; Cook County; Illinois,71176,17,031,190601
Census Tract 1906.02; Cook County; Illinois,61308,17,031,190602
Census Tract 1907.01; Cook County; Illinois,64063,17,031,190701
Census Tract 1907.02; Cook County; Illinois,50457,17,031,190702
Census Tract 1908; Cook County; Illinois,52404,17,031,190800
Census Tract 1909; Cook County; Illinois,61500,17,031,190900
Census Tract 1910; Cook County; Illinois,63611,17,031,191000
Census Tract 1911; Cook County; Illinois,50513,17,031,191100
Census Tract 1912; Cook County; Illinois,57292,17,031,191200
Census Tract 1913.01; Cook County; Illinois,55759,17,031,191301
Census Tract 1913.02; Cook County; Illinois,55072,17,031,191302
Census Tract 2001; Cook County; Illinois,68393,17,031,200100
