id,census_tract_id,sub_group_indicator_name,year,value
274,490400,median_rent,2018,789
275,824106,median_rent,2018,979
276,806802,median_rent,2018,1168
277,809400,median_rent,2018,1663
278,610300,median_rent,2018,544
279,611800,median_rent,2018,621
280,681200,median_rent,2018,695
281,711000,median_rent,2018,719
282,800600,median_rent,2018,3375
283,804305,median_rent,2018,1217
284,809900,median_rent,2018,1560
285,811702,median_rent,2018,842
286,816000,median_rent,2018,1025
287,819400,median_rent,2018,947
288,210900,median_rent,2018,1189
289,260200,median_rent,2018,881
290,815500,median_rent,2018,947
291,818000,median_rent,2018,933
292,822900,median_rent,2018,1048
293,823904,median_rent,2018,1031
294,826402,median_rent,2018,1217
295,829401,median_rent,2018,1034
296,241100,median_rent,2018,1215
297,242000,median_rent,2018,1083
298,242100,median_rent,2018,1657
299,250600,median_rent,2018,874
300,251100,median_rent,2018,706
301,30900,median_rent,2018,1230
302,31900,median_rent,2018,1127
303,50200,median_rent,2018,1130
304,802100,median_rent,2018,518
305,802801,median_rent,2018,964
306,803100,median_rent,2018,1645
307,803607,median_rent,2018,1542
308,804606,median_rent,2018,1258
309,804705,median_rent,2018,1111
310,804710,median_rent,2018,1240
311,804711,median_rent,2018,1249
312,805106,median_rent,2018,1125
313,805109,median_rent,2018,375
314,805002,median_rent,2018,947
315,804803,median_rent,2018,1196
316,804808,median_rent,2018,1813
317,804902,median_rent,2018,1580
318,805112,median_rent,2018,1004
319,805502,median_rent,2018,1522
320,805801,median_rent,2018,1619
321,806700,median_rent,2018,-666666666
322,807800,median_rent,2018,2500
323,809000,median_rent,2018,2098
324,809100,median_rent,2018,1434
325,810302,median_rent,2018,1235
326,810502,median_rent,2018,842
327,810701,median_rent,2018,1023
328,810800,median_rent,2018,1134
329,811402,median_rent,2018,1014
330,811500,median_rent,2018,985
331,811900,median_rent,2018,978
332,191000,median_rent,2018,844
333,805600,median_rent,2018,1171
334,806004,median_rent,2018,926
335,807200,median_rent,2018,1218
336,807500,median_rent,2018,-666666666
337,828505,median_rent,2018,974
338,828701,median_rent,2018,733
339,829000,median_rent,2018,658
340,829402,median_rent,2018,632
341,803608,median_rent,2018,1099
342,804804,median_rent,2018,1331
343,805105,median_rent,2018,1245
344,805108,median_rent,2018,1080
345,805701,median_rent,2018,1275
346,252000,median_rent,2018,757
347,260100,median_rent,2018,522
348,260700,median_rent,2018,703
349,271300,median_rent,2018,664
350,81700,median_rent,2018,1950
351,100100,median_rent,2018,1084
352,100500,median_rent,2018,835
353,130100,median_rent,2018,388
354,140200,median_rent,2018,910
355,140500,median_rent,2018,961
356,160300,median_rent,2018,880
357,160800,median_rent,2018,996
358,811600,median_rent,2018,860
359,811800,median_rent,2018,1596
360,814400,median_rent,2018,833
361,815702,median_rent,2018,992
362,815800,median_rent,2018,881
363,816100,median_rent,2018,960
364,816300,median_rent,2018,1005
365,817000,median_rent,2018,892
366,818500,median_rent,2018,2028
367,818700,median_rent,2018,1054
368,200100,median_rent,2018,858
369,160900,median_rent,2018,954
370,824117,median_rent,2018,789
371,824119,median_rent,2018,1036
372,824120,median_rent,2018,1413
373,824121,median_rent,2018,1389
374,824122,median_rent,2018,1342
375,824123,median_rent,2018,1120
376,825303,median_rent,2018,1170
377,825304,median_rent,2018,973
378,830007,median_rent,2018,837
379,830008,median_rent,2018,1539
380,830500,median_rent,2018,757
381,830600,median_rent,2018,904
382,830700,median_rent,2018,699
383,830800,median_rent,2018,1123
384,830900,median_rent,2018,1242
385,831000,median_rent,2018,1861
386,831100,median_rent,2018,960
387,831200,median_rent,2018,774
388,831300,median_rent,2018,805
389,831400,median_rent,2018,789
390,831500,median_rent,2018,964
391,831600,median_rent,2018,843
392,831700,median_rent,2018,981
393,831800,median_rent,2018,950
394,831900,median_rent,2018,1487
395,832000,median_rent,2018,1609
396,832100,median_rent,2018,1249
397,832200,median_rent,2018,1301
398,832300,median_rent,2018,1512
399,832400,median_rent,2018,1489
400,832500,median_rent,2018,1568
401,810000,median_rent,2018,1385
402,810200,median_rent,2018,1110
403,811000,median_rent,2018,1125
404,805702,median_rent,2018,1827
405,806801,median_rent,2018,1252
406,807300,median_rent,2018,1149
407,808002,median_rent,2018,1691
408,808900,median_rent,2018,1366
409,809800,median_rent,2018,1125
410,550100,median_rent,2018,632
411,560200,median_rent,2018,850
412,560400,median_rent,2018,870
413,570100,median_rent,2018,762
414,580800,median_rent,2018,642
415,611000,median_rent,2018,640
416,826401,median_rent,2018,961
417,826901,median_rent,2018,781
418,827000,median_rent,2018,737
419,828300,median_rent,2018,813
420,804508,median_rent,2018,1184
421,804509,median_rent,2018,979
422,804510,median_rent,2018,961
423,804511,median_rent,2018,931
424,804608,median_rent,2018,1356
425,804609,median_rent,2018,1402
426,804610,median_rent,2018,1305
427,170900,median_rent,2018,867
428,220300,median_rent,2018,1214
429,630100,median_rent,2018,542
430,661000,median_rent,2018,822
431,670200,median_rent,2018,675
432,10400,median_rent,2018,959
433,380100,median_rent,2018,269
434,671800,median_rent,2018,835
435,691100,median_rent,2018,716
436,530300,median_rent,2018,811
437,560900,median_rent,2018,1352
438,580300,median_rent,2018,639
439,611300,median_rent,2018,561
440,611600,median_rent,2018,518
441,620300,median_rent,2018,904
442,620400,median_rent,2018,778
443,120100,median_rent,2018,1806
444,140100,median_rent,2018,978
445,150800,median_rent,2018,883
446,151100,median_rent,2018,901
447,160100,median_rent,2018,1066
448,160400,median_rent,2018,923
449,171100,median_rent,2018,925
450,190300,median_rent,2018,756
451,823604,median_rent,2018,1057
452,420500,median_rent,2018,825
453,430400,median_rent,2018,806
454,430600,median_rent,2018,708
455,440900,median_rent,2018,729
456,460100,median_rent,2018,813
457,480500,median_rent,2018,717
458,283100,median_rent,2018,1300
459,300700,median_rent,2018,644
460,300800,median_rent,2018,586
461,340600,median_rent,2018,254
462,340300,median_rent,2018,511
463,351000,median_rent,2018,1061
464,814300,median_rent,2018,743
465,815900,median_rent,2018,924
466,808702,median_rent,2018,1184
467,660600,median_rent,2018,686
468,670100,median_rent,2018,527
469,670800,median_rent,2018,603
470,671100,median_rent,2018,769
471,671200,median_rent,2018,772
472,671400,median_rent,2018,850
473,671500,median_rent,2018,684
474,671600,median_rent,2018,670
475,672000,median_rent,2018,783
476,804611,median_rent,2018,1277
477,804713,median_rent,2018,1276
478,804714,median_rent,2018,1399
479,804715,median_rent,2018,978
480,804716,median_rent,2018,1318
481,806103,median_rent,2018,998
482,806104,median_rent,2018,924
483,806201,median_rent,2018,1026
484,806202,median_rent,2018,935
485,812301,median_rent,2018,1762
486,812302,median_rent,2018,1199
487,812801,median_rent,2018,954
488,812802,median_rent,2018,950
489,813301,median_rent,2018,716
490,813302,median_rent,2018,742
491,813701,median_rent,2018,832
492,813702,median_rent,2018,851
493,813801,median_rent,2018,750
494,813802,median_rent,2018,726
495,820603,median_rent,2018,992
496,820604,median_rent,2018,879
497,820605,median_rent,2018,931
498,820606,median_rent,2018,1133
499,823805,median_rent,2018,972
500,823806,median_rent,2018,841
501,824003,median_rent,2018,1250
502,824004,median_rent,2018,766
503,832600,median_rent,2018,1895
504,832900,median_rent,2018,1452
505,833000,median_rent,2018,1988
506,833100,median_rent,2018,1874
507,833300,median_rent,2018,1418
508,833900,median_rent,2018,631
509,834000,median_rent,2018,856
510,834200,median_rent,2018,778
511,834300,median_rent,2018,690
512,834400,median_rent,2018,1008
513,834500,median_rent,2018,829
514,750200,median_rent,2018,881
515,750300,median_rent,2018,939
516,750400,median_rent,2018,828
517,770500,median_rent,2018,688
518,800400,median_rent,2018,2516
519,801607,median_rent,2018,1304
520,31700,median_rent,2018,894
521,31300,median_rent,2018,911
522,814700,median_rent,2018,848
523,20100,median_rent,2018,979
524,836100,median_rent,2018,636
525,836200,median_rent,2018,1083
526,30102,median_rent,2018,948
527,30103,median_rent,2018,992
528,30101,median_rent,2018,915
529,30104,median_rent,2018,1001
530,30601,median_rent,2018,854
531,30603,median_rent,2018,796
532,30604,median_rent,2018,970
533,30701,median_rent,2018,799
534,30702,median_rent,2018,1232
535,30703,median_rent,2018,800
536,30706,median_rent,2018,978
537,700402,median_rent,2018,1261
538,700501,median_rent,2018,861
539,700502,median_rent,2018,-666666666
540,730201,median_rent,2018,696
541,730202,median_rent,2018,1078
542,760801,median_rent,2018,1120
543,807400,median_rent,2018,1054
544,807600,median_rent,2018,1489
545,807900,median_rent,2018,-666666666
546,808001,median_rent,2018,1615
547,301701,median_rent,2018,630
548,301802,median_rent,2018,624
549,301702,median_rent,2018,642
550,301801,median_rent,2018,710
551,301803,median_rent,2018,639
552,430101,median_rent,2018,872
553,430102,median_rent,2018,704
554,431301,median_rent,2018,708
555,431302,median_rent,2018,795
556,440101,median_rent,2018,722
557,440102,median_rent,2018,719
558,440202,median_rent,2018,698
559,460301,median_rent,2018,741
560,460302,median_rent,2018,702
561,819000,median_rent,2018,2391
562,819300,median_rent,2018,782
563,820400,median_rent,2018,774
564,820800,median_rent,2018,675
565,170100,median_rent,2018,1435
566,170700,median_rent,2018,964
567,190100,median_rent,2018,759
568,220500,median_rent,2018,1511
569,826100,median_rent,2018,1017
570,826304,median_rent,2018,896
571,242300,median_rent,2018,1367
572,836300,median_rent,2018,933
573,836400,median_rent,2018,438
574,836500,median_rent,2018,817
575,836600,median_rent,2018,949
576,836700,median_rent,2018,747
577,836800,median_rent,2018,602
578,836900,median_rent,2018,731
579,837000,median_rent,2018,524
580,837100,median_rent,2018,834
581,837300,median_rent,2018,857
582,837400,median_rent,2018,763
583,837800,median_rent,2018,1084
584,803702,median_rent,2018,1540
585,804108,median_rent,2018,1244
586,804109,median_rent,2018,876
587,804308,median_rent,2018,1505
588,804309,median_rent,2018,1215
589,804310,median_rent,2018,1762
590,804311,median_rent,2018,2515
591,804403,median_rent,2018,1036
592,804404,median_rent,2018,1683
593,804405,median_rent,2018,845
594,760802,median_rent,2018,915
595,760803,median_rent,2018,970
596,770201,median_rent,2018,1028
597,770202,median_rent,2018,1438
598,770601,median_rent,2018,676
599,490300,median_rent,2018,916
600,490700,median_rent,2018,886
601,500100,median_rent,2018,715
602,520400,median_rent,2018,711
603,820902,median_rent,2018,1315
604,821001,median_rent,2018,994
605,821002,median_rent,2018,1003
606,822200,median_rent,2018,1338
607,822500,median_rent,2018,951
608,822801,median_rent,2018,887
609,823200,median_rent,2018,883
610,823603,median_rent,2018,815
611,823705,median_rent,2018,831
612,824107,median_rent,2018,1321
613,824300,median_rent,2018,668
614,825504,median_rent,2018,1072
615,825700,median_rent,2018,831
616,825803,median_rent,2018,767
617,826303,median_rent,2018,1282
618,827300,median_rent,2018,542
619,828503,median_rent,2018,827
620,640400,median_rent,2018,807
621,660400,median_rent,2018,652
622,660800,median_rent,2018,708
623,671300,median_rent,2018,544
624,825302,median_rent,2018,1051
625,826500,median_rent,2018,998
626,826700,median_rent,2018,797
627,827100,median_rent,2018,668
628,828000,median_rent,2018,903
629,828202,median_rent,2018,847
630,829302,median_rent,2018,803
631,300900,median_rent,2018,611
632,301200,median_rent,2018,631
633,31100,median_rent,2018,1112
634,50100,median_rent,2018,1492
635,50700,median_rent,2018,1647
636,62100,median_rent,2018,1464
637,620100,median_rent,2018,792
638,630800,median_rent,2018,646
639,630200,median_rent,2018,698
640,580700,median_rent,2018,701
641,590600,median_rent,2018,719
642,600700,median_rent,2018,792
643,611900,median_rent,2018,582
644,222200,median_rent,2018,1788
645,222500,median_rent,2018,1004
646,222800,median_rent,2018,827
647,230700,median_rent,2018,836
648,240200,median_rent,2018,1379
649,241400,median_rent,2018,1917
650,242400,median_rent,2018,1346
651,242500,median_rent,2018,1227
652,242600,median_rent,2018,973
653,242700,median_rent,2018,875
654,243100,median_rent,2018,1317
655,740300,median_rent,2018,1053
656,530600,median_rent,2018,765
657,804607,median_rent,2018,1380
658,804709,median_rent,2018,1119
659,805001,median_rent,2018,-666666666
660,805110,median_rent,2018,1726
661,805201,median_rent,2018,1038
662,805202,median_rent,2018,1266
663,830202,median_rent,2018,1166
664,823302,median_rent,2018,838
665,823703,median_rent,2018,919
666,823704,median_rent,2018,1569
667,835800,median_rent,2018,975
668,835900,median_rent,2018,554
669,836000,median_rent,2018,997
670,828402,median_rent,2018,916
671,828601,median_rent,2018,1035
672,830003,median_rent,2018,1327
673,830100,median_rent,2018,1431
674,830300,median_rent,2018,909
675,640300,median_rent,2018,874
676,650500,median_rent,2018,850
677,670400,median_rent,2018,724
678,680900,median_rent,2018,603
679,681100,median_rent,2018,744
680,681300,median_rent,2018,672
681,690400,median_rent,2018,773
682,700200,median_rent,2018,962
683,818200,median_rent,2018,972
684,818900,median_rent,2018,1156
685,280400,median_rent,2018,984
686,292200,median_rent,2018,853
687,300500,median_rent,2018,641
