census_tract_id,indicator_name,value,year
282700,agg_rent,709600,2021
282800,agg_rent,486100,2021
283100,agg_rent,1451800,2021
283200,agg_rent,604100,2021
283800,agg_rent,969500,2021
290900,agg_rent,1007300,2021
291200,agg_rent,461900,2021
291600,agg_rent,372200,2021
292200,agg_rent,674200,2021
292400,agg_rent,373100,2021
292500,agg_rent,878100,2021
300500,agg_rent,386500,2021
300600,agg_rent,523100,2021
300700,agg_rent,780400,2021
300800,agg_rent,622300,2021
300900,agg_rent,463700,2021
301100,agg_rent,371700,2021
301200,agg_rent,749100,2021
301600,agg_rent,472700,2021
301701,agg_rent,379200,2021
301702,agg_rent,556100,2021
301801,agg_rent,531400,2021
301802,agg_rent,345600,2021
301803,agg_rent,564200,2021
310200,agg_rent,783800,2021
310300,agg_rent,632500,2021
310400,agg_rent,400800,2021
310500,agg_rent,427600,2021
310600,agg_rent,1756100,2021
310700,agg_rent,539000,2021
310800,agg_rent,1043000,2021
310900,agg_rent,1050400,2021
320101,agg_rent,6061800,2021
320102,agg_rent,4829200,2021
320400,agg_rent,684200,2021
320600,agg_rent,4313000,2021
330101,agg_rent,2883800,2021
330102,agg_rent,5532500,2021
330103,agg_rent,4212800,2021
330200,agg_rent,723200,2021
340300,agg_rent,300300,2021
340400,agg_rent,335300,2021
340500,agg_rent,399800,2021
340600,agg_rent,168000,2021
350100,agg_rent,1914900,2021
350400,agg_rent,369700,2021
351000,agg_rent,2676500,2021
351100,agg_rent,461700,2021
351400,agg_rent,529200,2021
351500,agg_rent,370900,2021
360200,agg_rent,546200,2021
380100,agg_rent,280000,2021
380200,agg_rent,614700,2021
380600,agg_rent,1112000,2021
381200,agg_rent,762300,2021
381400,agg_rent,569500,2021
381500,agg_rent,209900,2021
381700,agg_rent,-666666666,2021
381800,agg_rent,531500,2021
381900,agg_rent,173000,2021
390100,agg_rent,455000,2021
390200,agg_rent,464700,2021
390300,agg_rent,1021600,2021
390400,agg_rent,658900,2021
390500,agg_rent,741200,2021
390600,agg_rent,566300,2021
390700,agg_rent,3213800,2021
400300,agg_rent,452600,2021
400400,agg_rent,631700,2021
400500,agg_rent,742800,2021
400800,agg_rent,617800,2021
410100,agg_rent,1720800,2021
410200,agg_rent,701500,2021
410500,agg_rent,1360600,2021
410600,agg_rent,1099900,2021
410700,agg_rent,1057500,2021
410800,agg_rent,1408700,2021
410900,agg_rent,1324200,2021
411000,agg_rent,1456000,2021
411100,agg_rent,952600,2021
411200,agg_rent,426200,2021
420100,agg_rent,603900,2021
420200,agg_rent,556200,2021
420300,agg_rent,575700,2021
420400,agg_rent,476100,2021
420500,agg_rent,496100,2021
420600,agg_rent,620400,2021
420700,agg_rent,727700,2021
420800,agg_rent,717900,2021
421200,agg_rent,433900,2021
430101,agg_rent,1290800,2021
430102,agg_rent,1663800,2021
430200,agg_rent,1600300,2021
430300,agg_rent,721200,2021
430400,agg_rent,792100,2021
430500,agg_rent,1322900,2021
430600,agg_rent,389600,2021
430700,agg_rent,1084900,2021
430800,agg_rent,482500,2021
430900,agg_rent,452500,2021
431200,agg_rent,317400,2021
431301,agg_rent,1024400,2021
431302,agg_rent,1041100,2021
431400,agg_rent,2349700,2021
440101,agg_rent,1818500,2021
440102,agg_rent,1040500,2021
440201,agg_rent,1678200,2021
440202,agg_rent,645700,2021
440300,agg_rent,529600,2021
440600,agg_rent,133600,2021
440700,agg_rent,121900,2021
440800,agg_rent,418000,2021
440900,agg_rent,266500,2021
450300,agg_rent,591600,2021
460100,agg_rent,534800,2021
460200,agg_rent,290400,2021
460301,agg_rent,441300,2021
460302,agg_rent,468400,2021
460400,agg_rent,604300,2021
460500,agg_rent,872000,2021
460800,agg_rent,556000,2021
461000,agg_rent,332600,2021
470100,agg_rent,278700,2021
480100,agg_rent,234700,2021
480200,agg_rent,255400,2021
480300,agg_rent,269200,2021
480400,agg_rent,307400,2021
480500,agg_rent,322700,2021
490200,agg_rent,549100,2021
490500,agg_rent,141600,2021
490600,agg_rent,206100,2021
490700,agg_rent,230300,2021
490800,agg_rent,323400,2021
490901,agg_rent,638700,2021
490902,agg_rent,667900,2021
491000,agg_rent,457600,2021
491100,agg_rent,267500,2021
491200,agg_rent,186100,2021
491300,agg_rent,393600,2021
491400,agg_rent,815600,2021
500100,agg_rent,602500,2021
500200,agg_rent,340200,2021
500300,agg_rent,380200,2021
510100,agg_rent,427500,2021
510200,agg_rent,398100,2021
510300,agg_rent,840400,2021
520100,agg_rent,200200,2021
520200,agg_rent,411000,2021
520300,agg_rent,442600,2021
520400,agg_rent,254400,2021
520500,agg_rent,262900,2021
520600,agg_rent,119400,2021
530100,agg_rent,388800,2021
530200,agg_rent,541700,2021
530300,agg_rent,510800,2021
530400,agg_rent,213600,2021
530501,agg_rent,691200,2021
530502,agg_rent,56800,2021
530503,agg_rent,403000,2021
530600,agg_rent,387700,2021
540101,agg_rent,746300,2021
540102,agg_rent,557600,2021
550100,agg_rent,705900,2021
550200,agg_rent,206200,2021
560100,agg_rent,93300,2021
560200,agg_rent,72900,2021
560300,agg_rent,45800,2021
560400,agg_rent,0,2021
560700,agg_rent,350400,2021
560800,agg_rent,351600,2021
560900,agg_rent,95200,2021
561000,agg_rent,177100,2021
561100,agg_rent,112300,2021
570100,agg_rent,96400,2021
570200,agg_rent,194800,2021
570300,agg_rent,436700,2021
570400,agg_rent,231100,2021
570500,agg_rent,216400,2021
580100,agg_rent,273900,2021
580200,agg_rent,412300,2021
580300,agg_rent,247800,2021
580400,agg_rent,461900,2021
580501,agg_rent,595700,2021
580502,agg_rent,550600,2021
580600,agg_rent,578300,2021
580700,agg_rent,617400,2021
580800,agg_rent,156800,2021
590500,agg_rent,253100,2021
590600,agg_rent,439700,2021
590700,agg_rent,402900,2021
600400,agg_rent,807500,2021
600600,agg_rent,463500,2021
600700,agg_rent,649400,2021
600900,agg_rent,877600,2021
610300,agg_rent,767500,2021
610400,agg_rent,269900,2021
610800,agg_rent,179500,2021
611200,agg_rent,358700,2021
611300,agg_rent,613200,2021
611400,agg_rent,512100,2021
611500,agg_rent,469900,2021
611600,agg_rent,187500,2021
611700,agg_rent,388400,2021
611800,agg_rent,247900,2021
611900,agg_rent,192900,2021
612000,agg_rent,190300,2021
612100,agg_rent,175900,2021
612200,agg_rent,566800,2021
620100,agg_rent,180400,2021
620200,agg_rent,257800,2021
620300,agg_rent,603900,2021
620400,agg_rent,301700,2021
630300,agg_rent,546700,2021
630400,agg_rent,557400,2021
630500,agg_rent,615000,2021
630600,agg_rent,300700,2021
630800,agg_rent,376500,2021
630900,agg_rent,525900,2021
640100,agg_rent,195400,2021
640300,agg_rent,1085000,2021
640400,agg_rent,66400,2021
640500,agg_rent,407000,2021
640600,agg_rent,641000,2021
640700,agg_rent,254100,2021
640800,agg_rent,119600,2021
650100,agg_rent,604500,2021
650200,agg_rent,896900,2021
650301,agg_rent,277000,2021
650302,agg_rent,184100,2021
650400,agg_rent,230300,2021
650500,agg_rent,239000,2021
660301,agg_rent,320300,2021
660302,agg_rent,732300,2021
660400,agg_rent,425600,2021
660500,agg_rent,546000,2021
