NAME,B25060_001E,state,county,tract
Census Tract 818; Cook County; Illinois,10977900,17,031,081800
Census Tract 819; Cook County; Illinois,827700,17,031,081900
Census Tract 901; Cook County; Illinois,268300,17,031,090100
Census Tract 902; Cook County; Illinois,1036900,17,031,090200
Census Tract 903; Cook County; Illinois,123800,17,031,090300
Census Tract 1001; Cook County; Illinois,572600,17,031,100100
Census Tract 1002; Cook County; Illinois,1130300,17,031,100200
Census Tract 1003; Cook County; Illinois,1726100,17,031,100300
Census Tract 1004; Cook County; Illinois,-666666666,17,031,100400
Census Tract 1005; Cook County; Illinois,306800,17,031,100500
Census Tract 1006; Cook County; Illinois,487000,17,031,100600
Census Tract 1007; Cook County; Illinois,153500,17,031,100700
Census Tract 1101; Cook County; Illinois,930900,17,031,110100
Census Tract 1102; Cook County; Illinois,648700,17,031,110200
Census Tract 1103; Cook County; Illinois,302000,17,031,110300
Census Tract 1104; Cook County; Illinois,784300,17,031,110400
Census Tract 1105.01; Cook County; Illinois,827600,17,031,110501
Census Tract 1105.02; Cook County; Illinois,688600,17,031,110502
Census Tract 1201; Cook County; Illinois,55900,17,031,120100
Census Tract 1202; Cook County; Illinois,400700,17,031,120200
Census Tract 1203; Cook County; Illinois,258200,17,031,120300
Census Tract 1204; Cook County; Illinois,210200,17,031,120400
Census Tract 1301; Cook County; Illinois,368900,17,031,130100
Census Tract 1302; Cook County; Illinois,161300,17,031,130200
Census Tract 1303; Cook County; Illinois,1188900,17,031,130300
Census Tract 1401; Cook County; Illinois,998800,17,031,140100
Census Tract 1402; Cook County; Illinois,1595700,17,031,140200
Census Tract 1403.01; Cook County; Illinois,786600,17,031,140301
Census Tract 1403.02; Cook County; Illinois,991300,17,031,140302
Census Tract 1404; Cook County; Illinois,472300,17,031,140400
Census Tract 1405; Cook County; Illinois,767700,17,031,140500
Census Tract 1406.01; Cook County; Illinois,498300,17,031,140601
Census Tract 1406.02; Cook County; Illinois,1432700,17,031,140602
Census Tract 1407.01; Cook County; Illinois,829500,17,031,140701
Census Tract 1407.02; Cook County; Illinois,1636600,17,031,140702
Census Tract 1408; Cook County; Illinois,2140200,17,031,140800
Census Tract 1502; Cook County; Illinois,1368400,17,031,150200
Census Tract 1503; Cook County; Illinois,1758400,17,031,150300
Census Tract 1504.01; Cook County; Illinois,847500,17,031,150401
Census Tract 1504.02; Cook County; Illinois,544700,17,031,150402
Census Tract 1505.01; Cook County; Illinois,392400,17,031,150501
Census Tract 1505.02; Cook County; Illinois,586800,17,031,150502
Census Tract 1506; Cook County; Illinois,546200,17,031,150600
Census Tract 1507; Cook County; Illinois,444200,17,031,150700
Census Tract 1508; Cook County; Illinois,546100,17,031,150800
Census Tract 1510.01; Cook County; Illinois,374600,17,031,151001
Census Tract 1510.02; Cook County; Illinois,974200,17,031,151002
Census Tract 1511; Cook County; Illinois,907400,17,031,151100
Census Tract 1512; Cook County; Illinois,298200,17,031,151200
Census Tract 1601; Cook County; Illinois,486800,17,031,160100
Census Tract 1602; Cook County; Illinois,438000,17,031,160200
Census Tract 1603; Cook County; Illinois,1152200,17,031,160300
Census Tract 1604; Cook County; Illinois,1363200,17,031,160400
Census Tract 1605.01; Cook County; Illinois,862600,17,031,160501
Census Tract 1605.02; Cook County; Illinois,847100,17,031,160502
Census Tract 1606.01; Cook County; Illinois,953400,17,031,160601
Census Tract 1606.02; Cook County; Illinois,786900,17,031,160602
Census Tract 1607; Cook County; Illinois,1385200,17,031,160700
Census Tract 1608; Cook County; Illinois,1286700,17,031,160800
Census Tract 1609; Cook County; Illinois,501300,17,031,160900
Census Tract 1610; Cook County; Illinois,608500,17,031,161000
Census Tract 1611; Cook County; Illinois,220600,17,031,161100
Census Tract 1612; Cook County; Illinois,489500,17,031,161200
Census Tract 1613; Cook County; Illinois,907100,17,031,161300
Census Tract 1701; Cook County; Illinois,367400,17,031,170100
Census Tract 1702; Cook County; Illinois,132700,17,031,170200
Census Tract 1703; Cook County; Illinois,486000,17,031,170300
Census Tract 1704; Cook County; Illinois,320500,17,031,170400
Census Tract 1705; Cook County; Illinois,680100,17,031,170500
Census Tract 1706; Cook County; Illinois,106300,17,031,170600
Census Tract 1707; Cook County; Illinois,305200,17,031,170700
Census Tract 1708; Cook County; Illinois,363500,17,031,170800
Census Tract 1709; Cook County; Illinois,309300,17,031,170900
Census Tract 1710; Cook County; Illinois,591400,17,031,171000
Census Tract 1711; Cook County; Illinois,335200,17,031,171100
Census Tract 1801; Cook County; Illinois,1096100,17,031,180100
Census Tract 1901; Cook County; Illinois,547600,17,031,190100
Census Tract 1902; Cook County; Illinois,718800,17,031,190200
Census Tract 1903; Cook County; Illinois,940300,17,031,190300
Census Tract 1904.01; Cook County; Illinois,294400,17,031,190401
Census Tract 1904.02; Cook County; Illinois,978600,17,031,190402
Census Tract 1906.01; Cook County; Illinois,391100,17,031,190601
Census Tract 1906.02; Cook County; Illinois,425000,17,031,190602
Census Tract 1907.01; Cook County; Illinois,477400,17,031,190701
Census Tract 1907.02; Cook County; Illinois,774600,17,031,190702
Census Tract 1908; Cook County; Illinois,1232800,17,031,190800
Census Tract 1909; Cook County; Illinois,314100,17,031,190900
Census Tract 1910; Cook County; Illinois,295300,17,031,191000
Census Tract 1911; Cook County; Illinois,1287800,17,031,191100
Census Tract 1912; Cook County; Illinois,566300,17,031,191200
Census Tract 1913.01; Cook County; Illinois,860900,17,031,191301
Census Tract 1913.02; Cook County; Illinois,660900,17,031,191302
Census Tract 2001; Cook County; Illinois,559500,17,031,200100
Census Tract 2002; Cook County; Illinois,798100,17,031,200200
Census Tract 2003; Cook County; Illinois,524400,17,031,200300
Census Tract 2004.01; Cook County; Illinois,500900,17,031,200401
Census Tract 2004.02; Cook County; Illinois,676200,17,031,200402
Census Tract 2101; Cook County; Illinois,1225200,17,031,210100
Census Tract 2104; Cook County; Illinois,638800,17,031,210400
Census Tract 2105.01; Cook County; Illinois,1418200,17,031,210501
Census Tract 2105.02; Cook County; Illinois,1314800,17,031,210502
Census Tract 2106.01; Cook County; Illinois,807200,17,031,210601
Census Tract 2106.02; Cook County; Illinois,1224600,17,031,210602
Census Tract 2107; Cook County; Illinois,1223800,17,031,210700
Census Tract 2108; Cook County; Illinois,348500,17,031,210800
Census Tract 2109; Cook County; Illinois,955400,17,031,210900
Census Tract 2203; Cook County; Illinois,916600,17,031,220300
Census Tract 2204; Cook County; Illinois,1080000,17,031,220400
Census Tract 2205; Cook County; Illinois,1302300,17,031,220500
Census Tract 2206.01; Cook County; Illinois,645200,17,031,220601
Census Tract 2206.02; Cook County; Illinois,3040700,17,031,220602
Census Tract 2207.01; Cook County; Illinois,1120200,17,031,220701
Census Tract 2207.02; Cook County; Illinois,1372800,17,031,220702
Census Tract 2209.01; Cook County; Illinois,852100,17,031,220901
Census Tract 2209.02; Cook County; Illinois,672900,17,031,220902
Census Tract 2210; Cook County; Illinois,1143400,17,031,221000
Census Tract 2211; Cook County; Illinois,1628000,17,031,221100
Census Tract 2212; Cook County; Illinois,1262100,17,031,221200
Census Tract 2213; Cook County; Illinois,1477100,17,031,221300
Census Tract 2214; Cook County; Illinois,1782700,17,031,221400
Census Tract 2215; Cook County; Illinois,911300,17,031,221500
Census Tract 2216; Cook County; Illinois,1336400,17,031,221600
Census Tract 2222; Cook County; Illinois,1170700,17,031,222200
Census Tract 2225; Cook County; Illinois,455500,17,031,222500
Census Tract 2226; Cook County; Illinois,608800,17,031,222600
Census Tract 2227; Cook County; Illinois,696500,17,031,222700
Census Tract 2228; Cook County; Illinois,370600,17,031,222800
Census Tract 2229; Cook County; Illinois,285300,17,031,222900
Census Tract 2301; Cook County; Illinois,516500,17,031,230100
Census Tract 2302; Cook County; Illinois,479900,17,031,230200
Census Tract 2303; Cook County; Illinois,157000,17,031,230300
Census Tract 2304; Cook County; Illinois,286900,17,031,230400
Census Tract 2305; Cook County; Illinois,694400,17,031,230500
Census Tract 2306; Cook County; Illinois,1352000,17,031,230600
Census Tract 2307; Cook County; Illinois,1116100,17,031,230700
Census Tract 2308; Cook County; Illinois,112600,17,031,230800
Census Tract 2309; Cook County; Illinois,1739000,17,031,230900
Census Tract 2311; Cook County; Illinois,149400,17,031,231100
Census Tract 2312; Cook County; Illinois,1229000,17,031,231200
Census Tract 2315; Cook County; Illinois,1196100,17,031,231500
Census Tract 2402; Cook County; Illinois,508500,17,031,240200
Census Tract 2403; Cook County; Illinois,571700,17,031,240300
Census Tract 2405; Cook County; Illinois,1251800,17,031,240500
Census Tract 2406; Cook County; Illinois,629600,17,031,240600
Census Tract 2407; Cook County; Illinois,683400,17,031,240700
Census Tract 2408; Cook County; Illinois,390900,17,031,240800
Census Tract 2409; Cook County; Illinois,412700,17,031,240900
Census Tract 2410; Cook County; Illinois,880900,17,031,241000
Census Tract 2411; Cook County; Illinois,1457200,17,031,241100
Census Tract 2412; Cook County; Illinois,741900,17,031,241200
Census Tract 2413; Cook County; Illinois,822200,17,031,241300
Census Tract 2414; Cook County; Illinois,3878800,17,031,241400
Census Tract 2415; Cook County; Illinois,1580300,17,031,241500
Census Tract 2416; Cook County; Illinois,2341700,17,031,241600
Census Tract 2420; Cook County; Illinois,2516900,17,031,242000
Census Tract 2421; Cook County; Illinois,1800000,17,031,242100
Census Tract 2422; Cook County; Illinois,1917500,17,031,242200
Census Tract 2423; Cook County; Illinois,1485900,17,031,242300
Census Tract 2424; Cook County; Illinois,1684900,17,031,242400
Census Tract 2425; Cook County; Illinois,1777100,17,031,242500
Census Tract 2426; Cook County; Illinois,2470900,17,031,242600
Census Tract 2427; Cook County; Illinois,571300,17,031,242700
Census Tract 2428; Cook County; Illinois,437400,17,031,242800
Census Tract 2429; Cook County; Illinois,630300,17,031,242900
Census Tract 2430; Cook County; Illinois,959300,17,031,243000
Census Tract 2431; Cook County; Illinois,735100,17,031,243100
Census Tract 2432; Cook County; Illinois,719800,17,031,243200
Census Tract 2433; Cook County; Illinois,1767200,17,031,243300
Census Tract 2434; Cook County; Illinois,1702100,17,031,243400
Census Tract 2435; Cook County; Illinois,3119700,17,031,243500
Census Tract 2502; Cook County; Illinois,351100,17,031,250200
Census Tract 2503; Cook County; Illinois,595400,17,031,250300
Census Tract 2504; Cook County; Illinois,944500,17,031,250400
Census Tract 2505; Cook County; Illinois,534400,17,031,250500
Census Tract 2506; Cook County; Illinois,291500,17,031,250600
Census Tract 2507; Cook County; Illinois,1421600,17,031,250700
Census Tract 2508; Cook County; Illinois,271200,17,031,250800
Census Tract 2510; Cook County; Illinois,227900,17,031,251000
Census Tract 2511; Cook County; Illinois,850100,17,031,251100
Census Tract 2512; Cook County; Illinois,398100,17,031,251200
Census Tract 2513; Cook County; Illinois,677900,17,031,251300
Census Tract 2514; Cook County; Illinois,1171200,17,031,251400
Census Tract 2515; Cook County; Illinois,861500,17,031,251500
Census Tract 2516; Cook County; Illinois,768600,17,031,251600
Census Tract 2517; Cook County; Illinois,211900,17,031,251700
Census Tract 2518; Cook County; Illinois,1357000,17,031,251800
Census Tract 2519; Cook County; Illinois,1456300,17,031,251900
Census Tract 2520; Cook County; Illinois,1732000,17,031,252000
Census Tract 2521.01; Cook County; Illinois,460600,17,031,252101
Census Tract 2521.02; Cook County; Illinois,1445900,17,031,252102
Census Tract 2522.01; Cook County; Illinois,690100,17,031,252201
Census Tract 2522.02; Cook County; Illinois,1168700,17,031,252202
Census Tract 2601; Cook County; Illinois,269100,17,031,260100
Census Tract 2602; Cook County; Illinois,240400,17,031,260200
Census Tract 2603; Cook County; Illinois,316300,17,031,260300
Census Tract 2604; Cook County; Illinois,348600,17,031,260400
Census Tract 2605; Cook County; Illinois,397400,17,031,260500
Census Tract 2606; Cook County; Illinois,444400,17,031,260600
Census Tract 2607; Cook County; Illinois,296100,17,031,260700
Census Tract 2608; Cook County; Illinois,513000,17,031,260800
Census Tract 2609; Cook County; Illinois,227200,17,031,260900
Census Tract 2610; Cook County; Illinois,512600,17,031,261000
Census Tract 2705; Cook County; Illinois,339100,17,031,270500
Census Tract 2712; Cook County; Illinois,266100,17,031,271200
Census Tract 2713; Cook County; Illinois,185700,17,031,271300
Census Tract 2714; Cook County; Illinois,322800,17,031,271400
Census Tract 2715; Cook County; Illinois,250700,17,031,271500
Census Tract 2718; Cook County; Illinois,164100,17,031,271800
Census Tract 2801; Cook County; Illinois,9132100,17,031,280100
Census Tract 2804; Cook County; Illinois,461400,17,031,280400
Census Tract 2808; Cook County; Illinois,222900,17,031,280800
Census Tract 2809; Cook County; Illinois,209400,17,031,280900
Census Tract 2819; Cook County; Illinois,6290100,17,031,281900
Census Tract 2827; Cook County; Illinois,857300,17,031,282700
Census Tract 2828; Cook County; Illinois,531500,17,031,282800
Census Tract 2831; Cook County; Illinois,1773500,17,031,283100
Census Tract 2832; Cook County; Illinois,581700,17,031,283200
Census Tract 2838; Cook County; Illinois,1123700,17,031,283800
Census Tract 2909; Cook County; Illinois,1064300,17,031,290900
Census Tract 2912; Cook County; Illinois,366700,17,031,291200
Census Tract 2916; Cook County; Illinois,415200,17,031,291600
Census Tract 2922; Cook County; Illinois,744500,17,031,292200
Census Tract 2924; Cook County; Illinois,497400,17,031,292400
Census Tract 2925; Cook County; Illinois,888000,17,031,292500
Census Tract 3005; Cook County; Illinois,450600,17,031,300500
Census Tract 3006; Cook County; Illinois,611500,17,031,300600
