NAME,B25060_001E,state,county,tract
"Census Tract 8027.01, Cook County, Illinois",400600,17,031,802701
"Census Tract 8028.02, Cook County, Illinois",369400,17,031,802802
"Census Tract 8095, Cook County, Illinois",1691600,17,031,809500
"Census Tract 2909, Cook County, Illinois",542600,17,031,290900
"Census Tract 1104, Cook County, Illinois",610700,17,031,110400
"Census Tract 1202, Cook County, Illinois",354600,17,031,120200
"Census Tract 1507, Cook County, Illinois",523200,17,031,150700
"Census Tract 1613, Cook County, Illinois",733400,17,031,161300
"Census Tract 2104, Cook County, Illinois",484800,17,031,210400
"Census Tract 2108, Cook County, Illinois",203100,17,031,210800
"Census Tract 2216, Cook County, Illinois",939700,17,031,221600
"Census Tract 8018, Cook County, Illinois",316500,17,031,801800
"Census Tract 8029, Cook County, Illinois",109400,17,031,802900
"Census Tract 8036.04, Cook County, Illinois",611900,17,031,803604
"Census Tract 8038, Cook County, Illinois",332600,17,031,803800
"Census Tract 8045.05, Cook County, Illinois",499100,17,031,804505
"Census Tract 8047.01, Cook County, Illinois",1454500,17,031,804701
"Census Tract 8047.06, Cook County, Illinois",47400,17,031,804706
"Census Tract 6302, Cook County, Illinois",230700,17,031,630200
"Census Tract 5807, Cook County, Illinois",492800,17,031,580700
"Census Tract 5906, Cook County, Illinois",347400,17,031,590600
"Census Tract 6007, Cook County, Illinois",587700,17,031,600700
"Census Tract 6119, Cook County, Illinois",199900,17,031,611900
"Census Tract 2222, Cook County, Illinois",737200,17,031,222200
"Census Tract 2225, Cook County, Illinois",347000,17,031,222500
"Census Tract 2228, Cook County, Illinois",216000,17,031,222800
"Census Tract 2307, Cook County, Illinois",685400,17,031,230700
"Census Tract 2402, Cook County, Illinois",483800,17,031,240200
"Census Tract 2414, Cook County, Illinois",2689200,17,031,241400
"Census Tract 2424, Cook County, Illinois",1185700,17,031,242400
"Census Tract 2425, Cook County, Illinois",1104300,17,031,242500
"Census Tract 2426, Cook County, Illinois",1587900,17,031,242600
"Census Tract 2427, Cook County, Illinois",508800,17,031,242700
"Census Tract 2431, Cook County, Illinois",511800,17,031,243100
"Census Tract 2433, Cook County, Illinois",818800,17,031,243300
"Census Tract 2503, Cook County, Illinois",736200,17,031,250300
"Census Tract 2515, Cook County, Illinois",727600,17,031,251500
"Census Tract 8036.08, Cook County, Illinois",1382000,17,031,803608
"Census Tract 8040, Cook County, Illinois",338300,17,031,804000
"Census Tract 8043.06, Cook County, Illinois",345500,17,031,804306
"Census Tract 8046.03, Cook County, Illinois",2320700,17,031,804603
"Census Tract 8047.12, Cook County, Illinois",685700,17,031,804712
"Census Tract 8048.06, Cook County, Illinois",246600,17,031,804806
"Census Tract 8048.07, Cook County, Illinois",351900,17,031,804807
"Census Tract 8048.09, Cook County, Illinois",147100,17,031,804809
"Census Tract 8198.01, Cook County, Illinois",162200,17,031,819801
"Census Tract 8205.02, Cook County, Illinois",482100,17,031,820502
"Census Tract 8209.01, Cook County, Illinois",542600,17,031,820901
"Census Tract 8220, Cook County, Illinois",246800,17,031,822000
"Census Tract 8226.01, Cook County, Illinois",96100,17,031,822601
"Census Tract 8227.02, Cook County, Illinois",287900,17,031,822702
"Census Tract 8244, Cook County, Illinois",358000,17,031,824400
"Census Tract 8246.02, Cook County, Illinois",564700,17,031,824602
"Census Tract 311, Cook County, Illinois",1834400,17,031,031100
"Census Tract 3817, Cook County, Illinois",-666666666,17,031,381700
"Census Tract 3901, Cook County, Illinois",360600,17,031,390100
"Census Tract 3807, Cook County, Illinois",246000,17,031,380700
"Census Tract 3812, Cook County, Illinois",447800,17,031,381200
"Census Tract 3902, Cook County, Illinois",322500,17,031,390200
"Census Tract 4003, Cook County, Illinois",407300,17,031,400300
"Census Tract 406, Cook County, Illinois",807900,17,031,040600
"Census Tract 8175, Cook County, Illinois",510000,17,031,817500
"Census Tract 8177, Cook County, Illinois",180200,17,031,817700
"Census Tract 8179, Cook County, Illinois",678400,17,031,817900
"Census Tract 8214.01, Cook County, Illinois",456000,17,031,821401
