NAME,B25060_001E,state,county,tract
"Census Tract 8241.27, Cook County, Illinois",-666666666,17,031,824127
"Census Tract 8241.28, Cook County, Illinois",,17,031,824128
"Census Tract 8241.29, Cook County, Illinois",169400,17,031,824129
"Census Tract 8243, Cook County, Illinois",453800,17,031,824300
"Census Tract 8244, Cook County, Illinois",345700,17,031,824400
"Census Tract 8245.03, Cook County, Illinois",437700,17,031,824503
"Census Tract 8245.05, Cook County, Illinois",598200,17,031,824505
"Census Tract 8245.07, Cook County, Illinois",427000,17,031,824507
"Census Tract 8245.08, Cook County, Illinois",280800,17,031,824508
"Census Tract 8245.09, Cook County, Illinois",131000,17,031,824509
"Census Tract 8246.01, Cook County, Illinois",206100,17,031,824601
"Census Tract 8246.02, Cook County, Illinois",408000,17,031,824602
"Census Tract 8247.01, Cook County, Illinois",611700,17,031,824701
"Census Tract 8247.02, Cook County, Illinois",368800,17,031,824702
"Census Tract 8248, Cook County, Illinois",540900,17,031,824800
"Census Tract 8249, Cook County, Illinois",229900,17,031,824900
"Census Tract 8250, Cook County, Illinois",672900,17,031,825000
"Census Tract 8252, Cook County, Illinois",22100,17,031,825200
"Census Tract 8253.02, Cook County, Illinois",697100,17,031,825302
"Census Tract 8253.03, Cook County, Illinois",852900,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",341400,17,031,825304
"Census Tract 8254, Cook County, Illinois",482800,17,031,825400
"Census Tract 8255.01, Cook County, Illinois",991400,17,031,825501
"Census Tract 8255.03, Cook County, Illinois",749800,17,031,825503
"Census Tract 8255.04, Cook County, Illinois",600700,17,031,825504
"Census Tract 8255.05, Cook County, Illinois",480000,17,031,825505
"Census Tract 8256, Cook County, Illinois",518000,17,031,825600
"Census Tract 8257, Cook County, Illinois",546400,17,031,825700
"Census Tract 8258.01, Cook County, Illinois",709000,17,031,825801
"Census Tract 8241.15, Cook County, Illinois",227700,17,031,824115
"Census Tract 8258.02, Cook County, Illinois",668600,17,031,825802
"Census Tract 8258.03, Cook County, Illinois",658700,17,031,825803
"Census Tract 8259, Cook County, Illinois",365700,17,031,825900
"Census Tract 8260, Cook County, Illinois",335500,17,031,826000
"Census Tract 8261, Cook County, Illinois",887600,17,031,826100
"Census Tract 8262.01, Cook County, Illinois",866000,17,031,826201
"Census Tract 8262.02, Cook County, Illinois",558300,17,031,826202
"Census Tract 8263.01, Cook County, Illinois",442000,17,031,826301
"Census Tract 3815, Cook County, Illinois",162600,17,031,381500
"Census Tract 3817, Cook County, Illinois",-666666666,17,031,381700
"Census Tract 3818, Cook County, Illinois",445600,17,031,381800
